Date,Tail_Number,Event_Type,Standardized_Component,Component_Description
7/9/2024 0:00,N9863L,Replacement,Oil,Parts AeroShell 15W-50 oil
7/9/2024 0:00,N9863L,Replacement,_UNMAPPED_,Parts Studs
7/9/2024 0:00,N9863L,Replacement,_UNMAPPED_,Parts Camloc retainer
7/9/2024 0:00,N9863L,Replacement,_UNMAPPED_,Parts Receptacle
7/9/2024 0:00,N9863L,Replacement,_UNMAPPED_,"Parts Vacuum pump (no charge at this time, awaiting assessment"
7/12/2024 0:00,N8184G,Replacement,Oil Filter,Parts Tempest 103 oil filter
7/12/2024 0:00,N8184G,Replacement,Alternator,Parts Alternator belt
7/12/2024 0:00,N8184G,Replacement,Brake Lining,Parts Brake linings
7/12/2024 0:00,N8184G,Replacement,Air Filter,Parts Air filter
7/12/2024 0:00,N8184G,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
7/12/2024 0:00,N8184G,Replacement,Oil,Parts AeroShell 15W-50 oil
7/12/2024 0:00,N8184G,Replacement,Inner Tube,Parts NLG Leakguard inner tube
7/12/2024 0:00,N8184G,Replacement,Inner Tube,Parts MLG Leakguard inner tube
7/12/2024 0:00,N8184G,Replacement,Bulb,Parts Bulb
7/12/2024 0:00,N8184G,Replacement,_UNMAPPED_,Parts Light
7/12/2024 0:00,N8184G,Replacement,Tire,Parts Air Hawk 6.00-6 6 ply tire
7/12/2024 0:00,N433SP,Replacement,Tachometer,Parts Tachometer repair
7/12/2024 0:00,N433SP,Replacement,Miscellaneous,Parts Miscellaneous hardware
7/12/2024 0:00,N433SP,Replacement,_UNMAPPED_,Parts Sensor current ammeter
7/12/2024 0:00,N433SP,Replacement,Tachometer,Parts Tachometer cable
7/12/2024 0:00,N433SP,Replacement,Tachometer,Parts Digital tachometer
7/12/2024 0:00,N8184G,Replacement,Miscellaneous,Parts Miscellaneous hardware
7/12/2024 0:00,N8184G,Replacement,Tire,Parts Air Hawk 5.00-5 6 ply tire
7/12/2024 0:00,N8184G,Replacement,Gasket,Parts Superior gasket
7/22/2024 0:00,N433SP,Replacement,_UNMAPPED_,Parts O-rings
7/22/2024 0:00,N433SP,Replacement,Hydraulic Fluid,Parts Hydraulic Fluid
8/26/2024 0:00,N8184G,Replacement,Fastener,Parts Fastener
8/26/2024 0:00,N8184G,Replacement,_UNMAPPED_,Parts Retainer
8/26/2024 0:00,N8184G,Replacement,_UNMAPPED_,Parts 1FT wire
8/26/2024 0:00,N64527,Replacement,Spark Plug,Parts Spark plugs
8/26/2024 0:00,N64527,Service,Oil Analysis Kit,Parts Metal check oil analysis
8/26/2024 0:00,N64527,Replacement,Oil,Parts Phillips 20W-50 oil
8/26/2024 0:00,N64527,Replacement,Oil Filter,Parts Tempest oil filter
8/27/2024 0:00,N433SP,Service,Oil Analysis Kit,Parts Oil analysis kit
8/27/2024 0:00,N433SP,Replacement,Oil Filter,Parts Tempest 110 oil filter
8/27/2024 0:00,N433SP,Replacement,Oil,Parts Phillips 20W-50
8/27/2024 0:00,N433SP,Replacement,Inner Tube,Parts Leakguard inner tube
8/27/2024 0:00,N433SP,Replacement,Tire,Parts Air Hawk Tire
8/27/2024 0:00,N433SP,Replacement,Bulb,Parts Bulb
8/27/2024 0:00,N433SP,Replacement,Cotter Pin,Parts Cotter pin
8/27/2024 0:00,N433SP,Replacement,_UNMAPPED_,Parts Whelen power supply
8/27/2024 0:00,N433SP,Replacement,_UNMAPPED_,Parts Vacuum/amp indicator
8/27/2024 0:00,N433SP,Replacement,Core Charge,Parts Vacuum/pump core charge (Powerpacks plus)
8/27/2024 0:00,N433SP,Service,_UNMAPPED_,Parts Inspection for vacuum amp gauge (not repairable)
9/3/2024 0:00,N9863L,Replacement,Oil,Parts Phillips 20W-50 oil
9/3/2024 0:00,N8184G,Replacement,Miscellaneous,Parts Miscellaneous hardware
9/3/2024 0:00,N8184G,Replacement,Inner Tube,Parts Leakguard inner tube
9/3/2024 0:00,N8184G,Replacement,Tire,Parts Air Hawk 6ply tire
9/3/2024 0:00,N8184G,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
9/3/2024 0:00,N8184G,Replacement,Oil,Parts AeroShell 15W-50
9/3/2024 0:00,N8184G,Replacement,Oil Filter,Parts Oil filter
9/3/2024 0:00,N9863L,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
9/3/2024 0:00,N9863L,Replacement,Oil Filter,Parts Oil filter
9/3/2024 0:00,N8184G,Replacement,Cowl Mount,Parts Lord cowl mounts
9/12/2024 0:00,N433SP,Replacement,Air Filter,Air filter
9/12/2024 0:00,N433SP,Replacement,Miscellaneous,Miscellaneous hardware
9/12/2024 0:00,N433SP,Replacement,Carbon Monoxide Detector,Carbon monoxide detector
9/12/2024 0:00,N433SP,Replacement,Oil Filter,Tempest oil filter
9/12/2024 0:00,N433SP,Replacement,Instrument Filter,Rapco instrument filter
9/12/2024 0:00,N433SP,Replacement,Inner Tube,Leak guard inner tube
9/12/2024 0:00,N433SP,Replacement,_UNMAPPED_,Donaldson filter
9/12/2024 0:00,N433SP,Replacement,Tire,Air Hawk 5.00-5 6ply tire
9/12/2024 0:00,N433SP,Service,Oil Analysis Kit,Metal check oil analysis kit
9/12/2024 0:00,N433SP,Replacement,Oil,Phillips 20W-50 oil
9/12/2024 0:00,N433SP,Replacement,Brake Lining,APS Brake lining pads
9/12/2024 0:00,N433SP,Replacement,Cowl Mount,Lord cowling mounts
9/12/2024 0:00,N433SP,Replacement,_UNMAPPED_,Directional gyro
9/23/2024 0:00,N64527,Replacement,Gasket,Valve cover gasket
9/23/2024 0:00,N64527,Replacement,Gasket,Lycoming exhaust gasket
9/23/2024 0:00,N64527,Replacement,Inner Tube,Leak guard inner tube
9/23/2024 0:00,N64527,Replacement,Seal,Baffle seal
9/23/2024 0:00,N64527,Replacement,Rivet,Rivets
